panel,run_id,condition,learning_rate,step,value_raw,value_plot,smoothed
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,17000,0.059537529945373535,0.05697251707229567,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,17200,0.059148915112018585,0.05719015687626796,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,17400,0.056383587419986725,0.05710949993063984,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,17600,0.0539688915014267,0.05679543908771852,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,17800,0.05125510320067406,0.056241405499014074,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,18000,0.05703659728169441,0.05632092467728211,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,18200,0.05242324247956276,0.05593115645751017,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,18400,0.06963752210140228,0.05730179302189938,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,18600,0.05827698856592178,0.057399312576301625,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,18800,0.0448811911046505,0.05614750042913651,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,19000,0.05236494541168213,0.05576924492739107,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,19200,0.05226902663707733,0.0554192230983597,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,19400,0.05291636288166046,0.055168937076689774,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,19600,0.05450165644288063,0.05510220901330886,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,19800,0.04735438525676727,0.0543274266376547,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,20000,0.05915073677897453,0.05480975765178668,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,20200,0.05491513013839722,0.05482029490044773,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,20400,0.05195929855108261,0.05453419526551121,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,20600,0.058530911803245544,0.05493386691928464,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,20800,0.06537619233131409,0.05597809946048758,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,21000,0.050626497715711594,0.05544293928600998,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,21200,0.05929923057556152,0.055828568414965134,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,21400,0.056090496480464935,0.05585476122151511,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,21600,0.05930732563138008,0.05620001766250161,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,21800,0.05632578581571579,0.05621259447782302,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,22000,0.05447911471128464,0.05603924650116918,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,22200,0.06776441633701324,0.05721176348475359,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,22400,0.05682536959648132,0.05717312409592636,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,22600,0.04847923666238785,0.05630373535257251,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,22800,0.05263153091073036,0.0559365149083883,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,23000,0.043953295797109604,0.05473819299726043,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,23200,0.053869422525167465,0.054651315950051134,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,23400,0.05182177200913429,0.05436836155595945,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,23600,0.05113033205270767,0.05404455860563427,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,23800,0.05519338697195053,0.05415944144226589,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,24000,0.051989540457725525,0.053942451343811856,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,24200,0.05962243303656578,0.05451044951308725,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,24400,0.05163271725177765,0.05422267628695629,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,24600,0.055772531777620316,0.054377661836022696,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,24800,0.05806495249271393,0.05474639090169182,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,25000,0.05048757791519165,0.0543205096030418,true
