n_samples,scientific_name,dataset,median_length_pct_err,mean_length_pct_err,n
5,Agonum cupreum,biorepo,3.9383101,3.9383101,1
5,Dromochorus pruininus,biorepo,3.4728353,5.9060555,3
5,Cymindis neglecta,biorepo,3.3620522,3.3620522,1
5,Paraclivina bipustulata,biorepo,3.3054569,3.3054569,1
5,Diacheila polita,biorepo,3.1918757,2.9095905,13
5,Piesmus submarginatus,biorepo,3.0737257,3.0737257,1
5,Apenes lucidula lucidula,biorepo,2.991789,3.115855,4
5,Platynus ovipennis,biorepo,2.9374976,2.9374976,2
5,Harpalus desertus,biorepo,2.913152,3.2964344,25
5,Dicheirus piceus,biorepo,2.8871112,3.0169396,57
5,Cyclotrachelus brevoorti,biorepo,2.8535504,2.8535504,2
5,Cyclotrachelus alternans,biorepo,2.7031245,2.878681,12
5,Cylindera unipunctata,biorepo,2.6731262,2.8722906,4
5,Gastrellarius blanchardi,biorepo,2.5614367,2.5614367,2
5,Lebia vittata,biorepo,2.5485296,2.9245512,14
5,Promecognathus crassus,biorepo,2.514839,2.9736998,9
5,Carabus chamissonis,biorepo,2.495639,2.495639,2
5,Loricera pilicornis pilicornis,biorepo,2.4563873,2.4563873,1
5,Brachinus alternans,biorepo,2.4010878,2.4010878,1
5,Dromochorus belfragei,biorepo,2.3323882,2.652788,5
5,Galerita bicolor,biorepo,2.2649853,2.7451882,16
5,Elaphrus lapponicus,biorepo,2.2315314,2.2315314,2
5,Brachinus americanus,biorepo,2.1840045,2.1840045,1
5,Lophoglossus haldemanni,biorepo,2.1583195,2.1583195,1
5,Scaphinotus andrewsii,biorepo,2.1174788,2.3284998,4
5,Harpalus amputatus amputatus,biorepo,2.0791466,1.6186968,3
5,Sphaeroderus canadensis canadensis,biorepo,2.0140772,1.4818783,6
5,Amara carinata,biorepo,1.9003749,1.9003749,2
5,Calosoma sponsa,biorepo,1.8866936,1.7428726,7
5,Discoderus robustus,biorepo,1.8547555,2.92171,79
5,Harpalus opacipennis,biorepo,1.8420198,1.8733721,12
5,Scaphinotus angulatus,biorepo,1.8280098,1.8280098,2
5,Axinopalpus biplagiatus,biorepo,1.8224386,1.8205557,10
5,Dyschirius globulosus,biorepo,1.8208289,1.8208289,1
5,Piosoma setosum,biorepo,1.8159871,2.0659225,66
5,Scaphinotus angusticollis,biorepo,1.7520393,1.5611192,18
5,Amara angustatoides,biorepo,1.7263956,1.8541638,11
5,Cratacanthus dubius,biorepo,1.6998248,1.7938544,55
5,Notiophilus novemstriatus,biorepo,1.6856936,3.1733017,17
5,Amara crassispina,biorepo,1.685226,1.6884261,29
5,Calosoma calidum,biorepo,1.6577814,1.7639254,34
5,Poecilus chalcites,biorepo,1.6568154,3.033151,3
5,Platynus decentis,biorepo,1.6231352,1.6231352,2
5,Dicaelus sculptilis sculptilis,biorepo,1.594161,1.5957004,11
5,Poecilus cyanicolor,biorepo,1.5629332,1.5629332,1
5,Cicindela abdominalis,biorepo,1.5491171,1.5491171,1
5,Cyclotrachelus faber,biorepo,1.5453553,1.674457,15
5,Patrobus septentrionis,biorepo,1.5192733,1.5192733,1
5,Calathus gregarius,biorepo,1.5138373,2.4651008,15
5,Dicaelus elongatus,biorepo,1.4869341,1.7500787,15
5,Dicaelus dilatatus,biorepo,1.4812251,1.872999,35
5,Pterostichus novus,biorepo,1.4761755,1.544198,10
5,Bembidion rapidum,biorepo,1.4501929,1.4324367,4
5,Cymindis cribricollis,biorepo,1.4486508,2.6218052,31
5,Pasimachus californicus,biorepo,1.4176112,1.4176112,1
5,Harpalus amputatus,biorepo,1.4011594,1.6286908,42
5,Pterostichus (Abacidus) sp.,biorepo,1.3297648,1.9128051,16
5,Cychrus tuberculatus,biorepo,1.3004631,1.4449953,16
5,Omus californicus,biorepo,1.2967801,1.5574682,14
5,Metrius contractus,biorepo,1.2929076,1.4130288,47
5,Oxypselaphus pusillus,biorepo,1.2269421,1.3417804,4
5,Calosoma affine,biorepo,1.2192986,1.4656403,32
5,Carabus goryi,biorepo,1.2054598,1.4271377,5
5,Sphaeroderus stenostomus lecontei,biorepo,1.1831627,1.2014551,23
5,Agonum retractum,biorepo,1.0923737,1.4085473,5
5,Myas coracinus,biorepo,1.0637023,1.0637023,2
5,Stereocerus rubripes,biorepo,0.9631195,1.1676537,8
5,Myas cyanescens,biorepo,0.9601775,1.174955,4
5,Dicaelus politus,biorepo,0.9457808,1.529195,9
5,Carabus nemoralis nemoralis,biorepo,0.9424785,1.0582348,16
5,Carabus truncaticollis,biorepo,0.90625566,0.9425306,13
5,Calosoma scrutator,biorepo,0.8994949,1.1566237,13
5,Acupalpus hydropicus,biorepo,0.8416741,0.8416741,1
5,Elaphrus clairvillei,biorepo,0.72282493,0.72282493,1
5,Leistus ferruginosus,biorepo,0.69810843,0.69810843,1
5,Pasimachus depressus,biorepo,0.68356717,0.976203,12
5,Helluomorphoides texanus,biorepo,0.66250414,0.76271874,9
5,Panagaeus fasciatus,biorepo,0.52156454,0.52156454,1
5,Chlaenius aestivus,biorepo,0.49411088,0.67063403,4
5,Sphaeroderus bicarinatus,biorepo,0.41758028,0.47640562,3
5,Pasimachus elongatus,biorepo,0.4152925,0.6387996,6
5,Blethisa catenaria,biorepo,0.22161643,0.22161643,1
all,Notiophilus aeneus,biorepo,15.818564,15.818564,2
all,Micrixys distincta,biorepo,9.04739,9.04739,1
all,Omus audouini,biorepo,7.1582003,7.1582003,1
all,Nebria trifaria,biorepo,6.93632,6.93632,1
all,Cymindis neglecta,biorepo,6.490893,6.490893,1
all,Agonum corvus,biorepo,5.7638516,5.7638516,1
all,Dromochorus pruininus,biorepo,5.389064,6.396317,3
all,Galerita atripes,biorepo,5.291425,6.1661572,29
all,Lophoglossus tartaricus,biorepo,5.104237,5.104237,1
all,Gastrellarius honestus,biorepo,5.0733333,5.0733333,1
all,Calathus advena,biorepo,4.974027,4.974027,1
all,Brachinus americanus,biorepo,4.533557,4.533557,1
all,Agonum cupreum,biorepo,3.93721,3.93721,1
all,Paraclivina bipustulata,biorepo,3.780592,3.780592,1
all,Poecilus chalcites,biorepo,3.628368,3.4405239,3
all,Piesmus submarginatus,biorepo,3.356779,3.356779,1
all,Gastrellarius blanchardi,biorepo,3.2482662,3.2482662,2
all,Brachinus alternans,biorepo,3.2404478,3.2404478,1
all,Notiophilus novemstriatus,biorepo,3.1720822,3.94044,17
all,Apenes lucidula lucidula,biorepo,3.1544702,2.9213402,4
all,Dromochorus belfragei,biorepo,3.0086348,2.7828295,5
all,Agonum retractum,biorepo,2.9402661,2.8511815,5
all,Cyclotrachelus alternans,biorepo,2.8002727,2.6815126,12
all,Loricera pilicornis pilicornis,biorepo,2.681536,2.681536,1
all,Scaphinotus andrewsii,biorepo,2.5926995,2.3894918,4
all,Lebia vittata,biorepo,2.5772133,4.6009564,14
all,Platynus ovipennis,biorepo,2.5402362,2.5402362,2
all,Cyclotrachelus brevoorti,biorepo,2.5010595,2.5010595,2
all,Calosoma sponsa,biorepo,2.4926958,2.1657753,7
all,Pasimachus californicus,biorepo,2.416181,2.416181,1
all,Cylindera unipunctata,biorepo,2.3904223,2.5582275,4
all,Dicheirus piceus,biorepo,2.3872705,2.708672,57
all,Harpalus amputatus amputatus,biorepo,2.379566,2.4377356,3
all,Amara angustatoides,biorepo,2.2863507,2.0664833,11
all,Piosoma setosum,biorepo,2.231666,2.6393697,66
all,Harpalus desertus,biorepo,2.1197991,3.0626926,25
all,Promecognathus crassus,biorepo,2.1148047,2.9888391,9
all,Lophoglossus haldemanni,biorepo,2.0661986,2.0661986,1
all,Discoderus robustus,biorepo,2.015593,2.3638647,79
all,Dyschirius globulosus,biorepo,1.9825237,1.9825237,1
all,Cyclotrachelus faber,biorepo,1.9523405,1.7661374,15
all,Calathus gregarius,biorepo,1.9039335,2.3725913,15
all,Sphaeroderus canadensis canadensis,biorepo,1.8719938,2.299164,6
all,Amara crassispina,biorepo,1.7972715,1.7371588,29
all,Diacheila polita,biorepo,1.7933756,1.9165441,13
all,Myas coracinus,biorepo,1.7878608,1.7878608,2
all,Harpalus amputatus,biorepo,1.7682028,2.0760953,42
all,Galerita bicolor,biorepo,1.6510036,2.5815222,16
all,Calosoma calidum,biorepo,1.6222277,1.6906214,34
all,Cratacanthus dubius,biorepo,1.5778989,2.0395474,55
all,Scaphinotus angusticollis,biorepo,1.5634623,1.4453592,18
all,Carabus chamissonis,biorepo,1.5583358,1.5583358,2
all,Axinopalpus biplagiatus,biorepo,1.5182204,1.8174608,10
all,Pterostichus novus,biorepo,1.5079601,1.56001,10
all,Panagaeus fasciatus,biorepo,1.4864686,1.4864686,1
all,Dicaelus elongatus,biorepo,1.4146687,1.7518661,15
all,Bembidion rapidum,biorepo,1.407742,2.2002332,4
all,Cymindis cribricollis,biorepo,1.3606501,1.9026767,31
all,Poecilus cyanicolor,biorepo,1.3040053,1.3040053,1
all,Dicaelus dilatatus,biorepo,1.2956896,1.6409342,35
